customer_id,email,signup_date,city,acquisition_channel,device_type
C000056,ibrahim.abbasi56@example.com,2024-01-03,Bahawalpur,App Store,Desktop
C000057,maryam.shah57@example.com,2024-01-03,Karachi,Direct,iOS
C000058,iqra.malik58@example.com,2024-01-03,Faisalabad,Organic Search,Android
C000059,maryam.akhtar59@example.com,2024-01-03,Faisalabad,Influencer,Android
C000060,noor.ahmed60@example.com,2024-01-03,Gujranwala,Paid Social,Android
C000061,usman.abbasi61@example.com,2024-01-03,Karachi,Organic Search,Android
C000062,hassan.qureshi62@example.com,2024-01-03,Quetta,Direct,Android
C000063,iqra.shah63@example.com,2024-01-03,Mardan,Referral,Android
C000064,fatima.javed64@example.com,2024-01-03,Faisalabad,App Store,Android
C000065,rabia.butt65@example.com,2024-01-03,Lahore Cantt,Referral,Android
C000066,hira.mirza66@example.com,2024-01-03,Faisalabad,Organic Search,Android
C000067,taimoor.awan67@example.com,2024-01-03,Karachi,organic,Android
C000068,bilal.mirza68@example.com,2024-01-03,Peshawar,Paid Social,Android
C000069,hira.sheikh69@example.com,2024-01-03,Karachi,App Store,Android
C000070,danish.ali70@example.com,2024-01-04,Lahore,Direct,Desktop
C000071,sana.abbasi71@example.com,2024-01-04,Karachi,App Store,Desktop
C000072,ayesha.baig72@example.com,2024-01-04,Peshawar,Influencer,Android
C000073,ali.khan73@example.com,2024-01-04,Rawalpindi,Paid Social,Android
C000074,hamza.rana74@example.com,2024-01-04,Multan,Organic Search,Android
C000075,hamza.khan75@example.com,2024-01-04,Karachi,Direct,Android
C000076,faisal.qureshi76@example.com,2024-01-04,Lahore,App Store,Android
C000077,ali.abbasi77@example.com,2024-01-04,Lahore,Paid Social,Android
C000078,abdullah.shah78@example.com,2024-01-04,rawalpindi,Direct,Android
C000079,ahmed.abbasi79@example.com,2024-01-04,KARACHI,Organic Search,Android
C000080,rabia.akhtar80@example.com,2024-01-04,Faisalabad,Referral,Desktop
C000081,hamza.abbasi81@example.com,2024-01-04,Lahore,Organic Search,Desktop
C000082,iqra.rana82@example.com,2024-01-04,Quetta,Paid Social,iOS
C000083,rabia.abbasi83@example.com,2024-01-04,Lahore,App Store,iOS
C000084,maryam.raza84@example.com,2024-01-04,Karachi,Organic Search,Android
C000085,ahmed.ali85@example.com,2024-01-04,Karachi,App Store,Android
C000086,danish.khan86@example.com,2024-01-04,Lahore,Organic Search,Android
C000087,maryam.raza87@example.com,2024-01-04,Lahore,Organic Search,Android
C000088,zain.butt88@example.com,2024-01-04,Hyderabad,Organic Search,Android
C000089,maryam.raza89@example.com,2024-01-04,Multan,Organic Search,Android
C000090,amna.qureshi90@example.com,2024-01-04,Karachi,Direct,Android
C000091,ahmed.chaudhry91@example.com,2024-01-04,gujranwala,Organic Search,Desktop
C000092,khadija.awan92@example.com,2024-01-04,Karachi,Organic Search,Desktop
C000093,ayesha.shah93@example.com,2024-01-04,Hyderabad,Influencer,iOS
C000094,danish.butt94@example.com,2024-01-04,Karachi,Influencer,Android
C000095,hassan.chaudhry95@example.com,2024-01-05,Lahore,Paid Social,Android
C000096,usman.abbasi96@example.com,2024-01-05,Peshawar,Organic Search,Android
C000097,zainab.sheikh97@example.com,2024-01-05,Lahore,Referral,Desktop
C000098,saad.awan98@example.com,2024-01-05,Karachi,App Store,Desktop
C000099,hira.rana99@example.com,2024-01-05,Hyderabad,Organic Search,Android
C000100,rabia.shah100@example.com,2024-01-05,Multan,Direct,Android
C000101,areeba.baig101@example.com,2024-01-05,Quetta,Referral,Android
C000102,sana.qureshi102@example.com,2024-01-05,Faisalabad,Organic Search,Android
C000103,danish.rana103@example.com,2024-01-05,Karachi,Paid Social,Desktop
C000104,taimoor.hussain104@example.com,2024-01-05,Faisalabad,Paid Social,iOS
C000105,usman.akhtar105@example.com,2024-01-05,Gujranwala,Organic Search,Desktop
C000106,haris.chaudhry106@example.com,2024-01-05,Karachi,App Store,Desktop
C000107,hassan.butt107@example.com,2024-01-05,Karachi,Organic Search,Android
C000108,danish.siddiqui108@example.com,2024-01-05,Multan,Organic Search,Android
C000109,ahmed.chaudhry109@example.com,2024-01-05,hyderabad,Organic Search,Android
C000110,ayesha.raza110@example.com,2024-01-05,Lahore,App Store,Android
C000111,asad.abbasi111@example.com,2024-01-05,Peshawar,Referral,Desktop
C000112,mahnoor.butt112@example.com,2024-01-05,Karachi ,Organic Search,Android
C000113,danish.raza113@example.com,2024-01-05,Lahore,Organic Search,iOS
C000114,zain.sheikh114@example.com,2024-01-05,Peshawar,App Store,Desktop
C000115,hamza.akhtar115@example.com,2024-01-05,Karachi,Paid Social,Android
C000116,bilal.mirza116@example.com,2024-01-05,Lahore,Paid Social,Android
C000117,noor.butt117@example.com,2024-01-05,Faisalabad,Paid Social,Android
C000118,omar.iqbal118@example.com,2024-01-05,Lahore,App Store,Android
C000119,asad.malik119@example.com,2024-01-05,Sialkot,Referral,Desktop
C000120,maryam.mirza120@example.com,2024-01-05,Abbottabad,Referral,Desktop
C000121,amna.hussain121@example.com,2024-01-06,Faisalabad,App Store,Android
C000122,noor.akhtar122@example.com,2024-01-06,Hyderabad,organic,Android
C000123,amna.baig123@example.com,2024-01-06,QUETTA,Organic Search,Android
C000124,hamza.raza124@example.com,2024-01-06,MULTAN,App Store,Desktop
C000125,ali.ali125@example.com,2024-01-06,Peshawar,App Store,Android
C000126,areeba.iqbal126@example.com,2024-01-06,Karachi,Paid Social,iOS
C000127,sana.hussain127@example.com,2024-01-06,Gujranwala,App Store,Desktop
C000128,amna.akhtar128@example.com,2024-01-06,Lahore,App Store,Android
C000129,danish.awan129@example.com,2024-01-06,Karachi,Paid Social,Android
C000130,taimoor.awan130@example.com,2024-01-06,Rawalpindi,Direct,iOS
C000131,faisal.iqbal131@example.com,2024-01-06,Karachi,Direct,Android
C000132,zainab.khan132@example.com,2024-01-06,Karachi,App Store,iOS
C000133,ali.baig133@example.com,2024-01-06,Faisalabad,Influencer,Android
C000134,ahmed.malik134@example.com,2024-01-06,Karachi,App Store,Desktop
C000135,mahnoor.siddiqui135@example.com,2024-01-06,Quetta,Influencer,Android
C000136,noor.abbasi136@example.com,2024-01-06,Abbottabad,App Store,Android
C000137,areeba.hussain137@example.com,2024-01-06,Peshawar,App Store,Android
C000138,rabia.khan138@example.com,2024-01-06,Lahore,Paid Social,Android
C000139,fatima.butt139@example.com,2024-01-06,Rawalpindi,Organic Search,iOS
C000140,amna.ahmed140@example.com,2024-01-06,Karachi,Influencer,iOS
C000141,faisal.baig141@example.com,2024-01-06,Faisalabad,App Store,Android
C000142,mahnoor.raza142@example.com,2024-01-06,Lahore,Paid Social,Desktop
C000143,mahnoor.baig143@example.com,2024-01-06,Islamabad,Organic Search,Android
C000144,zainab.siddiqui144@example.com,2024-01-06,Karachi,Organic Search,Android
C000145,hira.hussain145@example.com,2024-01-06,sargodha,Influencer,Android
C000146,sara.shah146@example.com,2024-01-06,Karachi,paid social,Desktop
C000147,zainab.javed147@example.com,,Lahore,Referral,Android
C000148,faisal.awan148@example.com,2024-01-06,Lahore,Organic Search,Android
C000149,saad.awan149@example.com,2024-01-07,Rawalpindi,Organic Search,Desktop
C000150,sana.chaudhry150@example.com,2024-01-07,Quetta,Referral,Android
C000151,amna.baig151@example.com,2024-01-07,Karachi,Direct,Android
C000152,noor.khan152@example.com,2024-01-07,Karachi,Influencer,Android
C000153,ahmed.qureshi153@example.com,2024-01-07,Karachi,Direct,iOS
C000154,danish.baig154@example.com,2024-01-07,Rawalpindi,App Store,Android
C000155,hira.javed155@example.com,2024-01-07,Rawalpindi,Direct,Android
C000156,danish.malik156@example.com,2024-01-07,Gujranwala,Referral,Android
C000157,faisal.siddiqui157@example.com,2024-01-07,Gujranwala,Influencer,Android
C000158,maryam.qureshi158@example.com,2024-01-07,Karachi,Paid Social,Android
C000159,fatima.hussain159@example.com,2024-01-07,Quetta,Referral,Android
C000160,rabia.akhtar160@example.com,2024-01-07,Gujranwala,Paid Social,Desktop
C000161,ahmed.raza161@example.com,2024-01-07,FSD,App Store,Android
C000162,danish.khan162@example.com,2024-01-07,Lahore,App Store,Android
C000163,sana.malik163@example.com,2024-01-07,Peshawar,Organic Search,Android
C000164,amna.awan164@example.com,2024-01-07,Faisalabad,App Store,iOS
C000165,abdullah.sheikh165@example.com,2024-01-07,Lahore,App Store,Android
C000166,sana.butt166@example.com,2024-01-07,Karachi,Instagram Ads,Android
C000167,ali.shah167@example.com,2024-01-07,Rawalpindi,Direct,Android
C000168,iqra.javed168@example.com,2024-01-07,Rawalpindi,Direct,Android
C000169,rabia.siddiqui169@example.com,2024-01-07,Karachi,App Store,Android
C000170,taimoor.siddiqui170@example.com,2024-01-07,Quetta,Paid Social,Android
C000171,hassan.ahmed171@example.com,2024-01-07,Karachi,Organic Search,Android
C000172,sana.butt172@example.com,2024-01-07,Lahore,Direct,Android
C000173,omar.raza173@example.com,2024-01-07,Lahore,Influencer,Android
C000174,iqra.qureshi174@example.com,2024-01-07,Multan,Direct,Desktop
C000175,ahmed.abbasi175@example.com,2024-01-07,Karachi,Paid Social,Desktop
C000176,ali.chaudhry176@example.com,2024-01-07,Multan,Paid Social,Android
C000177,haris.iqbal177@example.com,2024-01-07,Lahore,App Store,Android
C000178,maryam.awan178@example.com,2024-01-07,Karachi,Influencer,Android
C000179,ali.baig179@example.com,2024-01-07,Karachi,Referral,Android
C000180,faisal.malik180@example.com,2024-01-07,Lahore,Paid Social,Android
C000181,iqra.hussain181@example.com,2024-01-07,Lahore,Paid Social,Desktop
C000182,omar.hussain182@example.com,2024-01-07,Karachi,Referral,iOS
C000183,asad.malik183@example.com,2024-01-07,Islamabad,Direct,Desktop
C000184,noor.baig184@example.com,2024-01-08,Islamabad,Referral,Android
C000185,hira.abbasi185@example.com,2024-01-08,Sargodha,organic,Android
C000186,haris.ahmed186@example.com,2024-01-08,Multan,Direct,iOS
C000187,noor.awan187@example.com,2024-01-08,Karachi,Referral,Android
C000188,omar.baig188@example.com,2024-01-08,Islamabad,App Store,Android
C000189,khadija.rana189@example.com,2024-01-08,Karachi,Direct,Desktop
C000190,sara.ali190@example.com,2024-01-08,Islamabad,Organic Search,Desktop
C000191,bilal.javed191@example.com,2024-01-08,Lahore,Referral,Android
C000192,maryam.mirza192@example.com,2024-01-08,Quetta,Organic Search,Android
C000193,hamza.malik193@example.com,2024-01-08,Islamabad,App Store,Android
C000194,usman.abbasi194@example.com,2024-01-08,Gujranwala,Organic Search,Android
C000195,ahmed.hussain195@example.com,2024-01-08,Rawalpindi,Influencer,Android
C000196,iqra.akhtar196@example.com,2024-01-08,Lahore,app_store,Android
C000197,sara.qureshi197@example.com,2024-01-08,Karachi,Influencer,Android
C000198,mahnoor.qureshi198@example.com,2024-01-08,Karachi,Direct,iOS
C000199,ayesha.chaudhry199@example.com,2024-01-08,Hyderabad,App Store,Desktop
C000200,iqra.baig200@example.com,2024-01-08,Quetta,Influencer,Android
C000201,iqra.mirza201@example.com,2024-01-08,,Paid Social,Android
C000202,ibrahim.malik202@example.com,2024-01-08,Islamabad,Influencer,Android
C000203,sara.ali203@example.com,2024-01-08,Lahore,Organic Search,iOS
C000204,asad.mirza204@example.com,2024-01-08,Islamabad,App Store,Android
C000205,ibrahim.qureshi205@example.com,2024-01-08,Sialkot,Referral,Android
C000206,mahnoor.baig206@example.com,2024-01-09,Karachi,App Store,Android
C000207,sana.javed207@example.com,2024-01-09,Lahore,Referral,Android
C000208,maryam.malik208@example.com,2024-01-09,Multan,App Store,Android
C000209,asad.rana209@example.com,2024-01-09,Lahore,App Store,Desktop
C000210,iqra.rana210@example.com,2024-01-09,Karachi,Referral,Desktop
C000211,abdullah.abbasi211@example.com,2024-01-09,Lahore,Facebook Ads,Android
C000212,mahnoor.javed212@example.com,2024-01-09,Faisalabad,Direct,Android
C000213,sara.iqbal213@example.com,2024-01-09,Sargodha,Organic Search,Android
C000214,sana.ali214@example.com,2024-01-09,Quetta,Paid Social,Android
C000215,asad.butt215@example.com,2024-01-09,Rawalpindi,Influencer,Android
C000216,bilal.raza216@example.com,2024-01-09,hyderabad,Paid Social,Android
C000217,faisal.baig217@example.com,2024-01-09,Rawalpindi,App Store,Android
C000218,hassan.iqbal218@example.com,2024-01-09,Islamabad,Organic Search,Android
C000219,mahnoor.chaudhry219@example.com,2024-01-09,Karachi,Organic Search,Android
C000220,usman.javed220@example.com,2024-01-09,Lahore,Facebook Ads,iOS
C000221,noor.iqbal221@example.com,2024-01-09,Islamabad,Organic Search,iOS
C000222,haris.raza222@example.com,2024-01-09,sargodha,Paid Social,Desktop
C000223,fatima.awan223@example.com,2024-01-09,FSD,Paid Social,Android
C000224,omar.ahmed224@example.com,2024-01-09,Sukkur,App Store,Android
C000225,hira.abbasi225@example.com,2024-01-09,Lahore,Direct,Android
C000226,ibrahim.mirza226@example.com,2024-01-09,Karachi,Paid Social,Android
C000227,areeba.ali227@example.com,2024-01-09,Sargodha,App Store,Desktop
C000228,noor.sheikh228@example.com,2024-01-09,Lahore,Organic Search,iOS
C000229,noor.shah229@example.com,2024-01-09,Islamabad,Paid Social,Android
C000230,faisal.mirza230@example.com,2024-01-09,Karachi,Referral,Android
C000231,sara.ahmed231@example.com,2024-01-09,Sialkot,Referral,Android
C000232,faisal.chaudhry232@example.com,2024-01-09,Karachi,Paid Social,Android
C000233,ahmed.iqbal233@example.com,2024-01-09,Quetta,Influencer,Android
C000234,ayesha.malik234@example.com,2024-01-10,Karachi,Influencer,Desktop
C000235,ayesha.akhtar235@example.com,2024-01-10,Karachi,Referral,iOS
C000236,omar.butt236@example.com,2024-01-10,Gujranwala,Paid Social,Android
C000237,amna.shah237@example.com,2024-01-10,lahore,Paid Social,Android
C000238,areeba.chaudhry238@example.com,2024-01-10,Lahore,App Store,iOS
C000239,fatima.ali239@example.com,2024-01-10,Rawalpindi,Paid Social,Desktop
C000240,danish.akhtar240@example.com,2024-01-10,Lahore Cantt,App Store,Android
C000241,asad.abbasi241@example.com,2024-01-10,Lahore,Paid Social,Android
C000242,ibrahim.javed242@example.com,2024-01-10,Karachi,Paid Social,Desktop
C000243,ayesha.raza243@example.com,2024-01-10,Rawalpindi,Direct,Android
C000244,taimoor.iqbal244@example.com,2024-01-10,Karachi,App Store,Android
C000245,khadija.baig245@example.com,2024-01-10,Gujranwala,Organic Search,Android
C000246,zainab.abbasi246@example.com,2024-01-10,Peshawar,Paid Social,iOS
C000247,zain.hussain247@example.com,2024-01-10,Lahore,App Store,Desktop
C000248,omar.javed248@example.com,2024-01-10,Islamabad ,Organic Search,Android
C000249,asad.shah249@example.com,2024-01-10,Rawalpindi,Influencer,Desktop
C000250,khadija.raza250@example.com,2024-01-10,faisalabad,Paid Social,Desktop
C000251,usman.abbasi251@example.com,2024-01-10,Lahore,Referral,Desktop
C000252,sara.javed252@example.com,2024-01-10,Faisalabad,Referral,Android
C000253,amna.rana253@example.com,2024-01-10,Karachi,Direct,iOS
C000254,danish.chaudhry254@example.com,2024-01-10,Islamabad,Referral,Android
C000255,faisal.abbasi255@example.com,2024-01-10,Karachi,Organic Search,iOS
C000256,saad.shah256@example.com,2024-01-10,Sukkur,Direct,Android
C000257,rabia.malik257@example.com,2024-01-10,Lahore,Paid Social,Desktop
C000258,hamza.hussain258@example.com,2024-01-10,Faisalabad,Direct,Desktop
C000259,mahnoor.ahmed259@example.com,2024-01-10,Islamabad,Referral,iOS
C000260,hira.hussain260@example.com,2024-01-10,Karachi,Paid Social,iOS
C000261,maryam.malik261@example.com,2024-01-10,Karachi,Paid Social,Desktop
C000262,ali.javed262@example.com,2024-01-11,Lahore,App Store,Desktop
C000263,areeba.baig263@example.com,2024-01-11,Faisalabad,Paid Social,Android
C000264,noor.malik264@example.com,2024-01-11,Faisalabad,Direct,Android
C000265,usman.chaudhry265@example.com,2024-01-11,Karachi,Paid Social,Android
C000266,zain.iqbal266@example.com,2024-01-11,Islamabad,App Store,Desktop
C000267,iqra.iqbal267@example.com,2024-01-11,Lahore,Influencer,Desktop
C000268,hassan.javed268@example.com,2024-01-11,Rawalpindi,App Store,Android
C000269,ali.baig269@example.com,2024-01-11,Lahore,App Store,Android
C000270,faisal.qureshi270@example.com,2024-01-11,Quetta,App Store,Android
C000271,abdullah.hussain271@example.com,2024-01-11,Islamabad,App Store,Desktop
C000272,ayesha.abbasi272@example.com,2024-01-11,Lahore Cantt,App Store,Android
C000273,sana.raza273@example.com,2024-01-11,Multan,Paid Social,iOS
C000274,noor.butt274@example.com,2024-01-11,Hyderabad,Paid Social,Android
C000275,hira.siddiqui275@example.com,2024-01-11,Lahore,Referral,Desktop
C000276,zainab.shah276@example.com,2024-01-11,Karachi,Paid Social,Android
C000277,ahmed.iqbal277@example.com,2024-01-11,"Karachi, Sindh",Paid Social,Android
C000278,taimoor.shah278@example.com,2024-01-11,Lahore,Organic Search,Android
C000279,sara.mirza279@example.com,2024-01-11,Peshawar,Direct,Desktop
C000280,zainab.chaudhry280@example.com,2024-01-11,Faisalabad,App Store,Android
C000281,mahnoor.sheikh281@example.com,2024-01-12,Lahore,Organic Search,Android
C000282,ahmed.ali282@example.com,2024-01-12,Karachi,App Store,Android
C000283,ibrahim.raza283@example.com,2024-01-12,Faisalabad,App Store,Android
C000284,amna.rana284@example.com,2024-01-12,Rawalpindi,App Store,Android
C000285,amna.raza285@example.com,2024-01-12,Pesh,Paid Social,Android
C000286,rabia.siddiqui286@example.com,2024-01-12,Multan,Influencer,Android
C000287,amna.baig287@example.com,2024-01-12,Lahore,Organic Search,Desktop
C000288,faisal.akhtar288@example.com,2024-01-12,Peshawar,Organic Search,Android
C000289,ibrahim.siddiqui289@example.com,2024-01-12,Islamabad,Organic Search,Android
C000290,sana.iqbal290@example.com,2024-01-12,Rawalpindi,Influencer,Android
C000291,saad.chaudhry291@example.com,2024-01-12,Lahore,Paid Social,Android
C000292,taimoor.malik292@example.com,2024-01-12,HYD,Organic Search,Android
C000293,zain.qureshi293@example.com,2024-01-12,Karachi,Influencer,Desktop
C000294,khadija.abbasi294@example.com,2024-01-12,Karachi,Influencer,Android
C000295,hamza.siddiqui295@example.com,2024-01-12,Lahore,Direct,Android
C000296,hamza.ali296@example.com,2024-01-12,Hyderabad,App Store,Android
C000297,ahmed.qureshi297@example.com,2024-01-12,Peshawar,Paid Social,iOS
C000298,ayesha.ali298@example.com,2024-01-12,Lahore,Facebook Ads,Desktop
C000299,usman.chaudhry299@example.com,2024-01-12,Karachi,Paid Social,iOS
C000300,zainab.ahmed300@example.com,2024-01-12,Karachi,App Store,Desktop
C000301,maryam.awan301@example.com,2024-01-12,Multan,Paid Social,Android
C000302,noor.iqbal302@example.com,2024-01-12,Islamabad,Referral,Android
C000303,saad.shah303@example.com,2024-01-12,Multan,App Store,Android
C000304,khadija.khan304@example.com,2024-01-12,Multan,Direct,Desktop
C000305,ali.malik305@example.com,2024-01-13,Gujranwala,Paid Social,Android
C000306,zainab.sheikh306@example.com,2024-01-13, Lahore,Paid Social,Android
C000307,taimoor.akhtar307@example.com,2024-01-13,Gujranwala,Referral,Android
C000308,fatima.rana308@example.com,2024-01-13,Lahore,App Store,iOS
C000309,faisal.akhtar309@example.com,2024-01-13,Multan,App Store,Android
C000310,mahnoor.butt310@example.com,2024-01-13,Rawalpindi,Organic Search,Android
C000311,amna.raza311@example.com,2024-01-13,Bahawalpur,Influencer,Android
C000312,ibrahim.shah312@example.com,2024-01-13,Lahore,app_store,Desktop
C000313,zain.sheikh313@example.com,2024-01-13,Multan,App Store,Android
C000314,zainab.ali314@example.com,2024-01-13,Rawalpindi,Facebook Ads,Android
C000315,zainab.chaudhry315@example.com,2024-01-13,Mardan,Direct,Android
C000316,khadija.siddiqui316@example.com,2024-01-13,Karachi,Paid Social,iOS
C000317,noor.awan317@example.com,2024-01-13,Rawalpindi,paid social,Android
C000318,bilal.siddiqui318@example.com,2024-01-13,Karachi,App Store,Android
C000319,taimoor.shah319@example.com,2024-01-13,Quetta,App Store,Desktop
C000320,faisal.sheikh320@example.com,2024-01-13,Hyderabad,Organic Search,Android
C000321,ayesha.ali321@example.com,2024-01-13,Faisalabad,App Store,Android
C000322,amna.javed322@example.com,2024-01-13,Islamabad,Influencer,Android
C000323,noor.iqbal323@example.com,2024-01-13,Multan,Paid Social,Android
C000324,fatima.rana324@example.com,2024-01-13,Rawalpindi,App Store,Android
C000325,zainab.iqbal325@example.com,2024-01-13,lahore,Organic Search,Android
C000326,maryam.ahmed326@example.com,2024-01-13,Gujranwala,Direct,Desktop
C000327,haris.rana327@example.com,2024-01-14,islamabad,organic,Desktop
C000328,saad.baig328@example.com,2024-01-14,Lahore,App Store,iOS
C000329,noor.ali329@example.com,2024-01-14,Faisalabad,Referral,Android
C000330,zainab.raza330@example.com,2024-01-14,Karachi,App Store,Android
C000331,rabia.malik331@example.com,2024-01-14,Multan,Paid Social,Desktop
C000332,hassan.chaudhry332@example.com,2024-01-14,Islamabad,Referral,Android
C000333,hira.iqbal333@example.com,2024-01-14,Faisalabad,Organic Search,Android
C000334,ayesha.chaudhry334@example.com,2024-01-14,Karachi,Paid Social,Android
C000335,omar.malik335@example.com,2024-01-14,Multan,Organic Search,Android
C000336,hira.ahmed336@example.com,2024-01-14,Multan,Paid Social,Desktop
C000337,noor.malik337@example.com,2024-01-14,Peshawar,Organic Search,Desktop
C000338,ali.raza338@example.com,2024-01-14,Islamabad,Paid Social,Desktop
C000339,omar.mirza339@example.com,2024-01-14,Faisalabad,app_store,Android
C000340,hamza.javed340@example.com,2024-01-14,Rawalpindi,Direct,Android
C000341,sara.javed341@example.com,2024-01-14,Karachi,Referral,Desktop
C000342,khadija.qureshi342@example.com,2024-01-14,Karachi,Referral,Android
C000343,fatima.khan343@example.com,2024-01-14,Lahore,Direct,Desktop
C000344,ibrahim.sheikh344@example.com,2024-01-14,Gujranwala,Paid Social,Android
C000345,amna.chaudhry345@example.com,2024-01-14,Lahore,Google Organic,Desktop
C000346,hamza.abbasi346@example.com,2024-01-14,Peshawar,Paid Social,Android
C000347,sana.rana347@example.com,2024-01-14,Faisalabad,Paid Social,Android
C000348,abdullah.ali348@example.com,2024-01-14,lahore,Organic Search,Android
C000349,faisal.malik349@example.com,2024-01-14,Karachi,Organic Search,iOS
C000350,ali.ali350@example.com,2024-01-14,Lahore,App Store,Android
C000351,abdullah.sheikh351@example.com,2024-01-15,Lahore,Influencer,Android
C000352,abdullah.malik352@example.com,2024-01-15,Karachi,App Store,Android
C000353,zain.iqbal353@example.com,2024-01-15,Gujranwala,Paid Social,Android
C000354,amna.baig354@example.com,2024-01-15,Abbottabad,Paid Social,Android
C000355,faisal.rana355@example.com,2024-01-15,Karachi,Influencer,Desktop
C000356,noor.khan356@example.com,2024-01-15,Karachi,Influencer,Android
C000357,zain.ali357@example.com,2024-01-15,Faisalabad,Influencer,Android
C000358,asad.akhtar358@example.com,2024-01-15,Sukkur,Influencer,Android
C000359,khadija.malik359@example.com,2024-01-15,Sukkur,App Store,Android
C000360,hira.khan360@example.com,2024-01-15,Bahawalpur,Paid Social,Android
C000361,zain.akhtar361@example.com,2024-01-15,Lahore,Organic Search,Android
C000362,noor.javed362@example.com,2024-01-15,Sargodha,Influencer,Android
C000363,haris.awan363@example.com,2024-01-15,Lahore,App Store,iOS
C000364,mahnoor.chaudhry364@example.com,2024-01-15,Karachi,Direct,Android
C000365,hamza.malik365@example.com,2024-01-15,Multan,Paid Social,Android
C000366,danish.shah366@example.com,2024-01-15,Rawalpindi,Organic Search,iOS
